z mb dmb x1 dx1 c dc l b true_mb true_x1 true_c
1.287295260111661843e+00 2.487047936785497981e+01 1.106573703214090154e-01 3.709480116304158526e-01 5.673343667884269692e-01 -1.443486473496903844e-01 3.922243310577101100e-02 8.800946763705137510e-01 -8.762391009177088463e-01 2.464621542455609671e+01 7.263061756168622818e-01 -1.110373043851440866e-01
8.144004293291038366e-01 2.377060931821430856e+01 1.010385436066289916e-01 -4.601418533707027914e-01 3.099746935089849886e-01 -1.321537754741194393e-01 3.779034989122987548e-02 5.787245265540087225e+00 8.147465081385237839e-01 2.367312272324395650e+01 -5.678838735966675877e-01 -1.452603071464523832e-01
8.121976682312213036e-01 2.358387930116328235e+01 1.339635555730919192e-01 1.327240268345985630e+00 2.210596388329623130e-01 -1.204598826956613800e-01 7.110935122290323873e-02 3.224805662578313914e+00 -3.570864420901142533e-01 2.358049814524276400e+01 1.098900084254119669e+00 -8.168291769914193257e-02
5.084156117972671307e-01 2.188365885524246579e+01 1.024279131385079644e-01 2.298074794814992106e-01 5.445127231431647896e-01 -2.229670736688726396e-01 4.274019704245154982e-02 1.536815611736895626e+00 -8.467491125864248236e-01 2.204278685521211401e+01 2.468086497009090163e-01 -1.876274680938583850e-01
1.164589869066065653e+00 2.507858460802801659e+01 1.542905860650481686e-01 1.461055087297912003e+00 7.046632554609104648e-01 1.106708538134712760e-01 1.875195244170997297e-02 2.745301344192998538e+00 -1.196302013778478335e+00 2.514239865142923236e+01 1.365942790928837969e+00 9.436784875484434398e-02
1.304755385359754882e-01 1.946634862024128410e+01 9.785782397091924434e-02 -1.050807979884341048e+00 6.215328752347137886e-01 -6.005998030635738977e-03 4.944902884416937927e-02 2.285798590455258683e+00 1.093803609858375880e+00 1.946788430464997433e+01 -1.656311147061146682e+00 4.496110339523611693e-03
1.080279761260113602e+00 2.419571315384073529e+01 1.269728533245909619e-01 1.128859472329029723e+00 5.408147974931669655e-01 3.824096631696261017e-02 5.032939692637946466e-02 1.975534343314116148e+00 -1.273203268191982929e+00 2.433842675039661430e+01 1.017862059898597904e+00 -4.589621391211015644e-02
5.697277486947665004e-01 2.319186680700984837e+01 1.140551180055435349e-01 2.083332959053680877e-01 6.764845882563692570e-01 -1.020652692260333450e-01 3.754050076564827837e-02 1.889008220061526355e+00 6.990735672015568891e-01 2.318168743382928554e+01 -1.284683223059281287e+00 -5.529726875472083802e-02
4.285024624770561452e-02 1.628808011905427833e+01 8.588180403574155464e-02 1.426661640160138189e+00 2.571691829385713279e-01 -4.576010739191393312e-02 3.802910929518904526e-02 1.029465550215036274e+00 -5.159310788851786400e-01 1.649630462401015407e+01 1.231669992620029408e+00 -3.873393026019920915e-02
6.813820606447498207e-01 2.316485084531392147e+01 1.312077110025669791e-01 -1.163374317640202715e+00 2.508214133309440430e-01 -5.305505909593337399e-02 5.133325733829716825e-02 3.075944752822723949e+00 -9.076920696577619463e-01 2.343760518931281212e+01 -8.647879676760359402e-01 -1.064449424631607466e-01
5.641052330897906586e-01 2.242114188863422086e+01 1.382332274258126215e-01 2.291167042046415414e+00 8.362380824525790235e-01 -9.233803372291685130e-02 5.655786383217778490e-02 5.798763698713417902e+00 -6.710028942221278880e-01 2.250269264541799075e+01 1.896384749952346960e+00 -3.401819106665646825e-02
1.237099536788583087e+00 2.486861606028741534e+01 1.047040055200403330e-01 1.100628180778304044e+00 2.683781759593681926e-01 -3.001008930468905544e-02 2.734874854703911451e-02 6.060763342620425043e+00 1.191520154948667143e+00 2.494866065401062016e+01 1.265818485767608470e+00 2.661660375600983369e-02
9.862045261173921773e-01 2.417950690693183446e+01 1.412476536014341255e-01 -1.560688543413588092e-01 2.885053388095032423e-02 -6.191978864888947331e-02 3.962356443010582596e-02 1.812910601344252637e+00 1.366526487291351177e+00 2.434514976639730577e+01 -8.789996183267717589e-02 -8.941990890643547463e-02
8.800947758633028695e-01 2.407045912320261039e+01 1.324232136607383647e-01 -1.224014864647501866e-03 4.072221629833897016e-01 1.495317524482505517e-03 4.129375920949165252e-02 3.195936715610486978e+00 -8.718431136454827257e-01 2.417026790038976358e+01 1.021588139013417107e-01 1.285310183537408807e-03
1.110851312185018092e+00 2.484245326254730912e+01 9.509339056679000368e-02 -5.257040670224486512e-01 3.873065155878995802e-01 5.627573416932302869e-02 7.080666890819098391e-02 4.926644501836386247e+00 9.273760744533393607e-01 2.487711003317364344e+01 -1.528111107040149574e-01 3.634603172657078357e-02
8.529889032233697321e-01 2.403735756895573417e+01 1.198232229143520455e-01 -1.139651587745275751e+00 3.087122665859693971e-01 -6.396458389459153127e-02 3.858821425588049997e-02 3.265712664733779746e+00 -1.317490362251399150e+00 2.398571757213735012e+01 -9.745203284084662521e-01 -8.773121883055907955e-02
1.209983916143659854e+00 2.469734484107229022e+01 1.288570458487049708e-01 9.024453997746938461e-01 3.895547103733226768e-02 -8.764987957667537410e-02 6.179027411104576900e-02 3.234618260732584183e+00 -5.832026730873777209e-01 2.468868274860170686e+01 8.840152710361659505e-01 -5.588808961948402848e-02
7.169295726593565288e-01 2.316160388508034274e+01 9.782531306424782636e-02 -2.033322104060931057e+00 4.925774559290392318e-01 -2.749661578980113208e-01 2.270062712816799805e-02 1.507903063755411166e+00 -6.518209022764249738e-01 2.313749208117286926e+01 -1.311199548149834193e+00 -2.359293315094853627e-01
4.593375260956216177e-01 2.238234452434921451e+01 1.217383772564330363e-01 3.431417145370107002e-01 4.522346342826094601e-02 1.317305025143552799e-01 4.973006986306731381e-02 1.620982336609840146e+00 6.454441450144364767e-01 2.252007354343589896e+01 3.401434248479760503e-01 3.610092913643909995e-02
9.500732653663828131e-01 2.441125570806729783e+01 1.126863826656948758e-01 -7.758195090081189127e-01 3.385233094833095535e-01 -4.216640068170168093e-03 3.939131922891472154e-02 1.723189098377353012e+00 6.487280423628778436e-01 2.446876598023413507e+01 -8.210832546660608022e-01 -2.230206845052494502e-02
1.804451621966589592e-01 1.980438208127618438e+01 1.061266681691330899e-01 3.044226874512501735e-01 3.953057540687615057e-01 1.286898132844587275e-02 2.694816349024559826e-02 2.819134626784426167e+00 -1.197172735930743359e+00 1.984256168913303497e+01 7.034708080064330238e-01 3.773219881991321523e-02
5.613158632587493813e-01 2.323632427196236350e+01 1.274563052509730676e-01 -4.519299655055032394e-01 5.220374111665970762e-01 -3.921040169689600507e-02 9.844909709122991875e-03 2.866245097338961045e+00 -1.082777202598840249e+00 2.310885617969639227e+01 7.002625287440994439e-01 -2.825413184524232235e-02
9.539658721072794556e-01 2.497691422334501965e+01 1.403718117599379589e-01 5.459070138871829903e-02 6.648559612490794191e-01 7.408118863371124241e-02 3.375924767170997154e-02 3.406402656227975445e+00 -7.536161325554933121e-01 2.486237178111707280e+01 -8.745494994219732421e-02 1.267583870280032388e-01
7.273165873838858264e-01 2.336092812675500952e+01 1.339352124684842771e-01 -2.415972118859513351e+00 5.056276763359576210e-01 -1.882517199488586701e-01 3.847174360207079175e-02 4.195520100992380819e+00 -8.129857721685855854e-01 2.315939707069621534e+01 -1.742735442243082966e+00 -1.885552406443055107e-01
2.302558799211174012e-02 1.575089045057403325e+01 1.164189114336266068e-01 4.533165155101425703e-01 3.029029987832932980e-01 1.076661310827118634e-01 4.532687992387324921e-02 3.245783077061587640e+00 -3.978072715423996430e-01 1.574865730385610441e+01 7.925900868533992671e-01 1.352612503893595997e-01
4.271631925090511039e-01 2.229088619334120480e+01 1.103097029106317045e-01 -4.422790828480183123e-01 1.262500118130312488e-01 8.701930936310255105e-02 5.115386974516152735e-02 4.301675431357072643e-01 5.536570771628493981e-01 2.226482183502886514e+01 -3.451126511292351706e-01 -2.469857046135354867e-03
7.817369875044803962e-01 2.373799506355416256e+01 1.116564132600183640e-01 6.309387563324900805e-01 1.818003091922807679e-01 3.791210662719517177e-02 2.112618700415054215e-02 2.940869979956242997e+00 -8.927857176340494583e-01 2.385080167424135666e+01 7.168593478383215034e-01 6.233061205086869172e-02
4.831373745234002204e-01 2.273026491537093463e+01 1.138626873522203681e-01 -2.583933042660284674e-01 5.053964672591837459e-02 -1.343739311598108471e-02 2.775841928856211116e-02 2.797511796156691322e+00 -1.105020785017755802e+00 2.269194748933146144e+01 -2.665114133105105920e-01 -1.773836005502267901e-02
1.049667232981887466e+00 2.484100696290882482e+01 1.354755459826459119e-01 -6.650312003445396636e-01 8.972870367532896907e-01 4.598562155037542315e-02 4.556127656711082829e-02 3.203085795135853786e+00 -7.019768012662702672e-01 2.483154593185666315e+01 7.872942303766863881e-02 3.415964762799083426e-02
7.221807042995023185e-01 2.316239407596759392e+01 1.231789846978694203e-01 3.854050758061748350e-01 1.752929760221398348e-01 -2.633033786030015699e-01 5.916897200871158724e-02 3.255430814363183156e+00 -5.840490677300245181e-01 2.316804318791940531e+01 3.087529726787492934e-01 -1.394254439466905693e-01
5.671197076127236780e-01 2.238143041835489910e+01 1.173600631755231938e-01 1.497538771445069972e-01 1.947674575594199042e-01 -2.357410673488512520e-01 3.713932422421517554e-02 3.980095230006870377e-01 -4.777538032105504429e-01 2.243055788817422069e+01 8.570294610486786646e-02 -1.457704455199153315e-01
8.859021377904283678e-01 2.430767198493547809e+01 1.117964774457480548e-01 -5.051887402547629025e-01 3.062593857587859181e-01 9.381576602549653032e-02 5.141086970914798826e-02 8.212084831541603958e-01 -3.232444954606570886e-01 2.428535235818003457e+01 -1.778953062958230635e-01 3.585735800193803891e-02
7.023861919951039923e-01 2.333897046185081692e+01 1.257631885333456156e-01 -2.244057752560917773e+00 3.156462077896036167e-01 -4.111084353143890091e-02 4.874219232301468113e-02 3.070897378410767598e+00 -4.317247556964881605e-01 2.342495766559065373e+01 -1.429302148601033995e+00 -1.065693921429172880e-01
1.019179101369680929e+00 2.444639318418392193e+01 1.248315399923519836e-01 2.984760410785797791e-01 2.117843802547499932e-01 -8.074935235334215755e-02 4.476067879227384194e-02 3.107651031281688070e+00 -8.883650681518893144e-01 2.441978047572606059e+01 2.847710021747187348e-01 -2.632468740179039896e-02
1.115331805593588133e+00 2.446841582421885519e+01 1.006146723105325047e-01 -9.334109207347446313e-02 4.080452103449491719e-01 -2.475510136624398810e-02 2.113085160627579950e-02 9.123576437436319297e-01 -6.151076290728113571e-01 2.460306991796363363e+01 9.600101563275434402e-02 -1.889293452986985991e-02
1.137672740900965707e+00 2.524202693255423213e+01 1.041872368205230132e-01 -2.803660420117299878e-01 1.126500833908474219e-01 5.961442318865943502e-02 5.398532168137655518e-02 8.566036901155889005e-01 -8.849945078793334252e-01 2.514604922742076809e+01 -3.618802808354414924e-01 1.018913458393316124e-01
9.187200710764147349e-01 2.458105462794811302e+01 1.478080261762460823e-01 -7.570555465353482338e-01 1.585296598459215445e-01 1.194534476504080234e-01 6.300937262219150070e-02 3.031449395930739588e+00 -1.089840168341149607e+00 2.457070998384769922e+01 -6.180386330912351900e-01 8.049700998046938061e-02
7.489250935985509727e-01 2.375335899514514537e+01 1.048152590777413490e-01 -6.157473005583458114e-01 2.384298152749780575e-01 -9.225531985944825097e-02 5.016447836172759078e-02 1.292377719968695660e+00 -7.392390873892664693e-01 2.366135623764534301e+01 -1.009509291379377727e+00 -2.955478072878428911e-02
1.150287283396618676e+00 2.491201361598884390e+01 1.225129899868483696e-01 -6.872939334208593154e-01 2.827437592617040307e-01 -1.651912933098147462e-01 6.671366025710884218e-02 4.383688798232978634e+00 1.165714311530653413e+00 2.485044674595857117e+01 -3.048427646607670960e-01 -2.168061357669189004e-02
1.169952167990226943e+00 2.475982891530328445e+01 1.132294590931397782e-01 3.728594455223869231e-01 2.400045405099039963e-01 -1.492820917932261536e-02 3.085246733417509879e-02 2.456195196675962311e+00 6.531477824353016937e-01 2.473738842827261664e+01 5.341420249517080387e-01 -3.026044447267181581e-02
